sample_idx,class,canny_edge_density,grabcut_iou,resnet_accuracy
3,cow,0.13849066666666668,0.49984281672430053,0
4,tvmonitor,0.065744,0.8859507415254237,1
21,cow,0.24844444444444444,0.9326547231270358,1
22,bus,0.05874133333333333,0.8708339797746153,0
25,dog,0.028512,0.7431340872374798,1
29,chair,0.07373913043478261,0.8527636237133444,1
33,boat,0.06601807228915663,0.6368818694726978,1
34,bird,0.02554954954954955,0.777927523210542,1
40,sofa,0.058,0.9951132048938265,1
44,cat,0.05108515815085158,0.8177520387661033,1
51,person,0.0806966966966967,0.889590497030322,0
52,person,0.06720533333333334,0.3179492907405339,1
55,person,0.06456426332288401,0.777258758451137,1
56,person,0.043892684788061645,0.9459356412993747,1
57,person,0.072416,0.4382392323142156,1
58,dog,0.038882882882882885,0.9604329801934592,1
64,person,0.10616568047337278,0.0,1
69,sofa,0.061664670658682634,0.3320753163340927,1
70,person,0.10264533333333334,0.8935034032427647,1
85,cat,0.15637463976945246,0.8556038143304298,1
88,person,0.09672533333333333,0.3888534340817134,1
96,pottedplant,0.09984,0.31310093695020663,0
98,cat,0.11464533333333334,0.720355913045764,1
112,cat,0.027136,0.6597192168539131,1
115,person,0.14723668639053256,0.0,1
118,person,0.080112,0.7500895736295234,1
125,car,0.057877333333333336,0.6052426882389546,1
126,person,0.11267867867867867,0.7740335521517141,0
132,bird,0.07297478991596638,0.9835784885983345,1
144,person,0.1105945945945946,0.3045890837132919,1
147,sofa,0.0881921921921922,0.4009745463871257,1
149,horse,0.08052923076923077,0.8875628916938829,1
157,person,0.1754139194139194,0.34526944005616994,1
163,train,0.23266133333333333,0.8140380075743423,1
166,person,0.16450133333333333,0.20012491733411714,1
167,person,0.08438438438438438,0.6430556702165717,1
168,person,0.08166079812206573,0.9827821809237497,1
170,person,0.05962441314553991,0.6141449529231443,1
177,person,0.221904,0.8077227947004869,1
181,person,0.16142168674698795,0.40109188059008016,1
183,person,0.10388791079812207,0.5850928988777939,1
189,horse,0.13666310160427808,0.4980197729339631,1
193,motorbike,0.11755555555555555,0.5416426854453736,0
197,person,0.06613253012048192,0.36915057734561263,1
203,person,0.11146666666666667,0.1457671766743649,1
211,bird,0.05222822822822823,0.7392923649906891,1
212,cat,0.046,0.9928876244665719,0
215,dog,0.16766666666666666,0.7856178075530823,1
226,bottle,0.06151871657754011,0.9636620655246965,1
229,cow,0.09682666666666667,0.969573520050923,1
