class,grabcut_iou,canny_edge_density
bottle,0.9636620655246965,0.06151871657754011
tvmonitor,0.8859507415254237,0.065744
bus,0.8708339797746153,0.05874133333333333
chair,0.8527636237133444,0.07373913043478261
bird,0.8335994589331884,0.050250855897914726
dog,0.8297282916613403,0.07835384984984985
train,0.8140380075743423,0.23266133333333333
cat,0.8092637214925563,0.07904822625072747
cow,0.8006903533007531,0.16125392592592594
horse,0.692791332313923,0.10859616618675443
boat,0.6368818694726978,0.06601807228915663
car,0.6052426882389546,0.057877333333333336
sofa,0.5760543558716816,0.06928562095029162
motorbike,0.5416426854453736,0.11755555555555555
person,0.5261020434680309,0.10524231489437828
pottedplant,0.31310093695020663,0.09984
