condition,distortion_type,mean_snr,std_snr,precision,recall,f1_score,exact_match
clean,clean,inf,0.0,0.8,0.8391608391608392,0.8191126279863481,0.6066666666666667
salt_pepper_1,salt_pepper,21.66600227355957,2.2233595848083496,0.7959183673469388,0.8181818181818182,0.8068965517241379,0.5933333333333334
salt_pepper_2,salt_pepper,15.669586181640625,2.2227234840393066,0.805352798053528,0.7715617715617715,0.7880952380952381,0.5666666666666667
salt_pepper_3,salt_pepper,10.351283073425293,2.2002029418945312,0.8554913294797688,0.6899766899766899,0.7638709677419355,0.5366666666666666
salt_pepper_4,salt_pepper,7.227657794952393,2.1715469360351562,0.8835616438356164,0.6013986013986014,0.7156726768377254,0.49
salt_pepper_5,salt_pepper,4.562185287475586,2.121006727218628,0.8663793103448276,0.46853146853146854,0.6081694402420574,0.4033333333333333
salt_pepper_6,salt_pepper,2.21920108795166,2.0142414569854736,0.8706896551724138,0.23543123543123542,0.3706422018348624,0.22
overexposure_1,overexposure,16.03516960144043,1.3758978843688965,0.7969432314410481,0.8508158508158508,0.8229988726042841,0.5933333333333334
overexposure_2,overexposure,5.962464809417725,1.934064507484436,0.7941834451901566,0.8275058275058275,0.8105022831050228,0.59
overexposure_3,overexposure,1.5132169723510742,2.4835264682769775,0.8159203980099502,0.7645687645687645,0.789410348977136,0.5366666666666666
overexposure_4,overexposure,-0.816853940486908,2.980435848236084,0.8416988416988417,0.5081585081585082,0.6337209302325582,0.39666666666666667
overexposure_5,overexposure,-1.6567226648330688,3.3232812881469727,0.8383838383838383,0.19347319347319347,0.3143939393939394,0.17666666666666667
overexposure_6,overexposure,-1.8983243703842163,3.470734119415283,0.42857142857142855,0.006993006993006993,0.013761467889908258,0.0033333333333333335
motion_blur_1,motion_blur,24.01031494140625,4.352758884429932,0.7799145299145299,0.8508158508158508,0.8138238573021181,0.6033333333333334
motion_blur_2,motion_blur,19.642038345336914,3.7486684322357178,0.7580299785867237,0.8251748251748252,0.7901785714285714,0.5533333333333333
motion_blur_3,motion_blur,17.07556915283203,3.453969717025757,0.7562189054726368,0.7086247086247086,0.7316486161251504,0.49333333333333335
motion_blur_4,motion_blur,15.554588317871094,3.3394060134887695,0.747093023255814,0.5990675990675991,0.6649417852522639,0.42333333333333334
motion_blur_5,motion_blur,13.911402702331543,3.250074625015259,0.7510373443983402,0.4219114219114219,0.5402985074626866,0.31333333333333335
motion_blur_6,motion_blur,12.389890670776367,3.2404325008392334,0.7570093457943925,0.1888111888111888,0.30223880597014924,0.15666666666666668
motion_blur_7,motion_blur,10.920464515686035,3.2690374851226807,0.6666666666666666,0.03263403263403263,0.06222222222222222,0.03333333333333333
