target_class,canny_iou_vs_clean,grabcut_iou_gt,dl_f1_score
bird,0.34765996405732713,0.6241788593476676,0.9629629629629629
boat,0.36554739721312496,0.482647799113263,0.48148148148148145
bottle,0.30332731152183856,0.7735453060287405,0.7222222222222222
bus,0.40858864184721333,0.7620014052873274,0.6203703703703703
car,0.2967034126736309,0.46939939893053595,0.5462962962962963
cat,0.31886267853770195,0.5238682081110778,0.5962962962962963
chair,0.36368742356064804,0.737275290363673,0.41111111111111115
cow,0.3594208344527896,0.6182963132340458,0.35185185185185186
dog,0.276972693754581,0.661622341324214,0.7746913580246912
horse,0.37112008926320805,0.5757233755705743,0.5
motorbike,0.38379865186691337,0.4727164984779147,0.6851851851851852
person,0.3506610606977991,0.4510406390761733,0.8314814814814815
pottedplant,0.41741233802212846,0.3213931352817665,0.9444444444444444
sofa,0.34924966761636367,0.5002222439410138,0.4660493827160494
train,0.3926298431979307,0.6975694932320173,0.7777777777777778
tvmonitor,0.36650875825369167,0.8399116972280357,0.9444444444444444
