distortion_type,class,class_f1_score,support_images
salt_pepper,aeroplane,0.8230088495575221,21
salt_pepper,bicycle,0.5255474452554745,14
salt_pepper,bird,0.8844884488448845,24
salt_pepper,boat,0.6467065868263473,18
salt_pepper,bottle,0.5603448275862069,23
salt_pepper,bus,0.8571428571428571,15
salt_pepper,car,0.5657015590200446,46
salt_pepper,cat,0.8344370860927153,41
salt_pepper,chair,0.5856832971800434,46
salt_pepper,cow,0.5806451612903226,10
salt_pepper,diningtable,0.5189873417721519,18
salt_pepper,dog,0.8221343873517787,45
salt_pepper,horse,0.6956521739130435,20
salt_pepper,motorbike,0.7756653992395437,25
salt_pepper,person,0.8176795580110497,157
salt_pepper,pottedplant,0.3262411347517731,18
salt_pepper,sheep,0.6666666666666666,10
salt_pepper,sofa,0.22818791946308725,20
salt_pepper,train,0.7407407407407407,25
salt_pepper,tvmonitor,0.5771812080536913,16
overexposure,aeroplane,0.8790322580645161,21
overexposure,bicycle,0.6538461538461539,14
overexposure,bird,0.8979591836734694,24
overexposure,boat,0.7589743589743589,18
overexposure,bottle,0.6390041493775933,23
overexposure,bus,0.9666666666666667,15
overexposure,car,0.6937119675456389,46
overexposure,cat,0.8870292887029289,41
overexposure,chair,0.6642201834862386,46
overexposure,cow,0.5547445255474452,10
overexposure,diningtable,0.6984126984126984,18
overexposure,dog,0.8858800773694391,45
overexposure,horse,0.8340807174887892,20
overexposure,motorbike,0.8686131386861314,25
overexposure,person,0.8335089567966281,157
overexposure,pottedplant,0.4567901234567901,18
overexposure,sheep,0.6138613861386139,10
overexposure,sofa,0.5873015873015873,20
overexposure,train,0.9553264604810997,25
overexposure,tvmonitor,0.7582417582417582,16
motion_blur,aeroplane,0.8844621513944223,21
motion_blur,bicycle,0.4539877300613497,14
motion_blur,bird,0.7848101265822784,24
motion_blur,boat,0.7329842931937173,18
motion_blur,bottle,0.5276595744680851,23
motion_blur,bus,0.8220858895705522,15
motion_blur,car,0.5772357723577236,46
motion_blur,cat,0.7688888888888888,41
motion_blur,chair,0.5594713656387665,46
motion_blur,cow,0.5370370370370371,10
motion_blur,diningtable,0.5454545454545454,18
motion_blur,dog,0.8158995815899581,45
motion_blur,horse,0.7075471698113207,20
motion_blur,motorbike,0.7175572519083969,25
motion_blur,person,0.765315739868049,157
motion_blur,pottedplant,0.27941176470588236,18
motion_blur,sheep,0.5365853658536586,10
motion_blur,sofa,0.38202247191011235,20
motion_blur,train,0.6861924686192469,25
motion_blur,tvmonitor,0.6091954022988506,16
