condition,distortion_type,severity_level,severity_label,params,mean_snr,clean_control_resnet50,distortion_aware_resnet50,distortion_finetuning_improvement
clean,clean,0,Clean,{},inf,0.851077380952381,0.8565238095238095,0.005446428571428519
motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},24.021604087352753,0.8370654761904762,0.8541369047619048,0.017071428571428626
motion_blur_L2,motion_blur,2,L2,{'kernel_size': 7},19.591691662073135,0.8130119047619047,0.8346250000000001,0.021613095238095403
motion_blur_L3,motion_blur,3,L3,{'kernel_size': 11},18.020308228731157,0.7571904761904762,0.8318214285714285,0.0746309523809523
motion_blur_L4,motion_blur,4,L4,{'kernel_size': 15},17.030956716537474,0.701202380952381,0.8194900793650792,0.11828769841269826
motion_blur_L5,motion_blur,5,L5,{'kernel_size': 25},15.498188626766204,0.552625,0.7395595238095238,0.1869345238095238
motion_blur_L6,motion_blur,6,L6,{'kernel_size': 41},14.129061541557313,0.3441666666666666,0.6440535714285716,0.29988690476190494
overexposure_L1,overexposure,1,L1,"{'factor': 1.1, 'bias': 10}",15.90650263786316,0.8481249999999999,0.8479404761904762,-0.00018452380952371783
overexposure_L2,overexposure,2,L2,"{'factor': 1.3, 'bias': 20}",8.520158138871192,0.8384107142857143,0.848404761904762,0.009994047619047652
overexposure_L3,overexposure,3,L3,"{'factor': 1.6, 'bias': 35}",4.196926695853472,0.8431071428571428,0.8484345238095239,0.005327380952381056
overexposure_L4,overexposure,4,L4,"{'factor': 2.0, 'bias': 50}",1.8136414105427685,0.8063988095238095,0.8210952380952381,0.01469642857142861
overexposure_L5,overexposure,5,L5,"{'factor': 2.5, 'bias': 75}",0.1316232095770829,0.7517380952380952,0.8118154761904762,0.06007738095238102
overexposure_L6,overexposure,6,L6,"{'factor': 3.2, 'bias': 100}",-0.9093894429088687,0.6073869047619047,0.7502083333333333,0.14282142857142854
salt_pepper_L1,salt_pepper,1,L1,{'amount': 0.005},21.40820765733719,0.8298928571428571,0.8378928571428571,0.008000000000000007
salt_pepper_L2,salt_pepper,2,L2,{'amount': 0.01},18.40486337661743,0.8128809523809524,0.8213869047619048,0.00850595238095242
salt_pepper_L3,salt_pepper,3,L3,{'amount': 0.03},13.676547238826751,0.7864702380952382,0.8164107142857142,0.029940476190476017
salt_pepper_L4,salt_pepper,4,L4,{'amount': 0.07},10.0974344111979,0.7201309523809524,0.8098154761904762,0.08968452380952385
salt_pepper_L5,salt_pepper,5,L5,{'amount': 0.15},6.9753650592267515,0.6305,0.7796785714285714,0.1491785714285715
salt_pepper_L6,salt_pepper,6,L6,{'amount': 0.3},4.316552363075316,0.4698333333333333,0.7395119047619048,0.26967857142857143
