model,epoch,train_loss,clean_val_loss,distorted_val_loss,combined_val_loss
clean_control,1,0.059571569254000985,0.07157635360956192,0.13377433866262436,0.10267534613609314
clean_control,2,0.0480495962848266,0.07009602129459382,0.13429703772068025,0.10219652950763702
clean_control,3,0.03943259915378359,0.07053906053304672,0.1343541932106018,0.10244662687182426
clean_control,4,0.03238672453992897,0.07066385760903358,0.1345474460721016,0.1026056518405676
clean_control,5,0.02609126808411545,0.07257825434207917,0.13624985337257386,0.10441405385732651
clean_control,6,0.021819197439485127,0.07358286678791046,0.1369121739268303,0.10524752035737038
clean_control,7,0.01756488361623552,0.07402425706386566,0.13850220769643784,0.10626323238015174
clean_control,8,0.014286642223596572,0.0756844325363636,0.14275908559560777,0.10922175906598568
distortion_aware,1,0.10538216078281402,0.0743793085217476,0.10369235575199127,0.08903583213686943
distortion_aware,2,0.09438445580005646,0.0712580269575119,0.09875336617231369,0.0850056965649128
distortion_aware,3,0.08732199370861053,0.07054833650588989,0.09589754760265351,0.08322294205427169
distortion_aware,4,0.08348833429813385,0.07058942094445228,0.09390370696783065,0.08224656395614147
distortion_aware,5,0.07858732191059324,0.06923459529876709,0.09304256126284599,0.08113857828080655
distortion_aware,6,0.07483844043148888,0.07019328072667122,0.09243801072239875,0.081315645724535
distortion_aware,7,0.07202688025103675,0.07048587396740913,0.09199919134378433,0.08124253265559674
distortion_aware,8,0.06716815654767884,0.07057909086346627,0.09202317655086517,0.08130113370716571
