condition,distortion_type,sample_idx,snr,canny_iou_vs_clean,grabcut_iou_gt,dl_f1_score
clean,clean,114.58,inf,1.0,0.654721052052126,0.8506666666666667
motion_blur_1,motion_blur,114.58,24.04816333770752,0.5555054432717411,0.6466594859072247,0.8154285714285714
motion_blur_3,motion_blur,114.58,17.219496650695802,0.13617654353971415,0.5826038585166384,0.6246666666666667
motion_blur_6,motion_blur,114.58,12.432103681564332,0.029955446636920006,0.5019261629148284,0.12
overexposure_1,overexposure,114.58,16.08363594055176,0.8791046242533401,0.6561604225185564,0.8593333333333334
overexposure_3,overexposure,114.58,1.977762118736282,0.3228562990732003,0.47874443243800224,0.7853333333333333
overexposure_6,overexposure,114.58,-1.346992958150804,0.0,0.04499803546011294,0.0
salt_pepper_1,salt_pepper,114.58,21.96916061401367,0.7302823386548973,0.6256467198390928,0.8293333333333334
salt_pepper_3,salt_pepper,114.58,10.662903022766113,0.20097184813725977,0.47048329690519464,0.7066666666666667
salt_pepper_6,salt_pepper,114.58,2.4972885590791702,0.08841239588667171,0.19665071698523626,0.2633333333333333
